,Author,Date,body
1479,deepak tolani,2016-07-12,the doesn t allow you to share articles 
1480,mwangi muturi,2016-07-12,enterprebeur
1481,rocky bhardwaj,2016-07-12,right
1482,shahrul the_killer,2016-07-12,bole la
1483,laxman gowri,2016-07-12,useful lication
1484,suzanne geyer,2016-07-12,a rise star
1485,bishwajit timung,2016-07-12,s allow you can also best
1486,sunil vishvanath,2016-07-12,head ta  u0026amp  corporate hr
1487,shezaad shaikh,2016-07-12,perfecto 
1488,prabhakar sharma,2016-07-12,good
1489,mantoo vishwakarma,2016-07-12,it s real truth amazing
1490,bayo alugbin,2016-07-12,interested in new developments 
1491,ramneek prabhakar,2016-07-12,wonderful
1492,perminus muturi,2016-07-12,yet to try it
1493,"bhupendra prasad singh, sena medal",2016-07-12,love the
1494,kiran kamboj,2016-07-12,it give correct information
1495,echebiri carmelita,2016-07-12,good
1496,nyashadzashe matavire,2016-07-12,great
1497,eyo inyang,2016-07-12,best professional
1498,ramesh meena,2016-07-12,ramesh meena
1499,omermohamed abdalla,2016-07-12,i do love it
1500,emmanuel solomon,2016-07-12,dentist
1501,outlook beauty,2016-07-12,good
1502,princess c,2016-07-12,be professional
1503,kirit parmar,2016-07-12,very good
1504,jasem rahman,2016-07-12,asjarr
1505,sudip howlader,2016-07-12,wellthis be a necessary crap  with additional security it wont lemme login  idiot
1506,gaurav kakane,2016-07-12,good
1507,neil williamson,2016-07-12,the worked fine until one day it stop work decide to put in endless security check cycle then put in a completely different email address to the one i use for link in then refuse access despite used the email address and password that i use on the laptop  uninstal as a result  will not be reinstalling 
1508,champ akash,2016-07-12,nyc one  
1509,agam singh pundhir,2016-07-12,it have to be sort out on priority
1510,goldclaw195,2016-07-12,good one
1511,kristijonas norkus,2016-07-12,yep be powerfull social who help you to find another hobby or bussine skil of your friends  i hope that just wait for best time shoot out to the social scene like a king 
1512,akinlolu ajani,2016-07-12,good
1513,robin wesly j silitonga,2016-07-12,last update feeds cannot refresh always lets try again      
1514,jonathan bonnette,2016-07-12,can t search for people  say something go wrong  contact profile open with pic and also title but that it  time to remove from phone 
1515,om prakash sachdeva,2016-07-12,great initiative
1516,harsha vardhan,2016-07-12,good for jod
1517,henrik sandberg jensen,2016-07-12,i can use an easiere way to group
1518,joseph mcbee,2016-07-12,i get notification but every single time i open the it tell me to try again  useless  deleting 
1519,friday antai,2016-07-12,very good
1520,sapna jha,2016-07-12,let s experience all for some more time 
1521,s w  biddulph,2016-07-12,can t share
1522,pradeep manish,2016-07-12,good but drain battery too fast
1523,harry malhi,2016-07-12,hi
1524,thu tran,2016-07-12,i love it
1525,sushil mangrulkar,2016-07-12,hi i be not able to send invitation  when i be send invitation i be get a message fail to send invitation 
1526,al hassan abiodun,2016-07-12,its good easy to use
1527,fern allen,2016-07-12,president sonshine family ministry i love it to stay in contact with other minister and pray for their needs  laugh cry or rejoice with them 
1528,imran khan gopang,2016-07-12,easy to connect the professionals 
1529,sayed saber,2016-07-12,good
1530,munir khan,2016-07-12,we all understand the need for security but when it cross the line of just check to a full on ana intrusion one must think who idio of a security guy come up with this  i have be used the for 6 7 year now  recently it start ask me to check some random picture with street numbers  i must have check these god damp pic a two dozen time by now and every time it win t go forward and restart with security check all over  it s drive me mad  i want to slap someone in
1531,garima jain,2016-07-12,just awesome
1532,zaid hashmi art,2016-07-12,poor and unsatisfying performance 
1533,joshua c  alomar,2016-07-12,it just keep say invalid account  everything be valid and i can log on in my mobile phone browser but not the   seriously piss me off!
1534,sankar kkd,2016-07-12,after editing my detail i can t able to save them it be show submission fail all the time while in update education or in personal detail like every where
1535,mo h,2016-07-12,keep freeze very slow response can t attach document through the cv cover letter etc   don t understand how a big professional network such as can t get their right after all these years 
1536,vish moodley,2016-07-12,outstanding !
1537,veeru sunkara,2016-07-12,can t upload profile pic
1538,cynthia carlson,2016-07-12,horrible ask to be install everytime i try to open it  then it say it can t open  sticking to computer login 
1539,kaliswaran selvaraj,2016-07-12,great
1540,princewill nathan,2016-07-12,i can t open the since the update   ridiculous 
1541,saleh isa,2016-07-12,a very good !
1542,benjamin davis,2016-07-12,it allow me to use most feature and i guess i can only do major edit from a computer at this point such as putt in awards  one thing however be that it win t allow me to add a profile picture  it have a gray circle where my picture should be once i have selected it and when i press upload it never stop loading  i presume this be a bug  i be on a root verizon lgg2 
1543,sunaryo adiva,2016-07-12,ok
1544,lorine blouin,2016-07-12,well  it be working 
1545,noralalem mohamed,2016-07-12,nice
1546,robert britton,2016-07-12,learn and trying  god be with america 
1547,                           ,2016-07-12,thank
1548,grace hutchinson,2016-07-12,caring for those who be handice and disabled 
1549,willy prilles,2016-07-11,this is really so annoying so off my went      
1550,jan williams,2016-07-11,i can t answer connection request through the   they don t show up they don t show up online either   the only way i can respond to them be through email  that s asinine  this and the website need to go away  it s a waste of time 
1551,viji palaniappan,2016-07-11,i don t understand why this mobile need my photo and personal file like video audio
1552,isha shengali,2016-07-11,nice   but very slow  keep get hang  
1553,ashutosh bansal,2016-07-11,very slow hang mobile
1554,ravi reji,2016-07-11,good
1555,sandy king,2016-07-11,keep in touch with colleague
1556,jayanta joddar,2016-07-11,one can communicate with professional s easily
1557,kachi okoronkwo,2016-07-11,the notification only show up after i open the   my message win t load  totally empty inbox  wth 
1558,hemant kargwaal,2016-07-11,very usefull to communicate with professional
1559,rajaimran khan,2016-07-11,best one
1560,mahesh kumar tidhaniya,2016-07-11,invalid login pop up in
1561,joseph ooi,2016-07-11,always golfing   laugh out loud
1562,ryannaldo noorhidayat,2016-07-11,good for connect person
1563,morag fraser,2016-07-11,i d expect thereto be some difference between full site and but you can t even fw a message  only get it for prompt to log onto full site  android user be an afterthought 
1564,malena bello,2016-07-11,great service
1565,andrew tang,2016-07-11,ljv
1566,scorypn gixxer,2016-07-11,why do none of my post actually post now? i ve try to put up 3 update and nothing posts 
1567,mood da silva,2016-07-11,i like this programme
1568,bhaskar ganisetti,2016-07-11,very good
1569,ganesh chikhale,2016-07-11,cool
1570,rizkii teguh riyadi,2016-07-11,yes
1571,radu lucian damian,2016-07-11,i have to uninstall this hang a lot  first launch first unresponsive alert  this be the second time it hens  so bye bye
1572,stephen coursen,2016-07-11,work fine until latest update  now it start and do absolutely nothing else  as a bonus i get free space since i uninstal this pile of junk 
1573,soko 123,2016-07-11,this work just fine  i update it and it now freeze take age to open and be generally very very bad in response time  disointing 
1574,amr wafeik,2016-07-11,good
1575,shoaib shaikh,2016-07-11,an awesome to build professional contact
1576,eloy quintero,2016-07-11,sofor the winare
1577,abdelhak majdi,2016-07-11,i love but this be slow and lag a lot especially with messaging
1578,mina mahdavi,2016-07-11,android     6 0 1
1579,pallavi misra,2016-07-11,new upgrade doesn t register messages 
1580,venkata kumar,2016-07-11,nice
1581,ibrahim rslan,2016-07-11,its an community of proficoli
1582,brian mynatt,2016-07-11,work great for android
1583,yusuf ghachi,2016-07-11,feck
1584,shepherd makuyana,2016-07-11,goooooood
1585,mohd haleem,2016-07-11,way to enter in professional world 
1586,shaik allim,2016-07-11,i will try this
1587,neeharika ajjarapu,2016-07-11,latest update bug
1588,david rivera,2016-07-11,people choice stone restoration
1589,                                  ,2016-07-11,but yhe desgin bad _ 
1590,mansour algaami,2016-07-11,fantastic pro 
1591,pangason githinji,2016-07-11,its help to search job very easy
1592,richard le mesurier,2016-07-11,web site easier to use
1593,jorge monteiro,2016-07-11,that s really bad
1594,yeti raj walia,2016-07-11,don t force your user to use all your as you already give less internal memory hope reply will come
1595,hasan alp,2016-07-11,this be and have violate my personal property
1596,april wynn,2016-07-11,good at bring down the house of put your hand in the air and wave them like you just don t care say hey lover up
1597,saurabh singh,2016-07-11,time economical
1598,anshu man,2016-07-11,always say invalid login please fix it
1599,smrutee sathaye,2016-07-11,on the go help to keep touch with the professional world all the time  but its face issue with my wifi connection  it run well on mobile data but give connection error on wifi  can any one guide me on the same? i try reinstal the as well
1600,petter karki,2016-07-11,great
1601,devanshi prajapati,2016-07-11,can t login from with same credential as i login from website 
1602,atul swaroop,2016-07-11,i m unable to log in my account in the but i can log in with same id and password on the website  fix this issue
1603,reza mirzaiy,2016-07-11,
1604,randy peoples,2016-07-11,always want you to install the which drain your battery 
1605,raja farooq,2016-07-11,super
1606,christopher doozie,2016-07-11,very good
1607,dorothy parker,2016-07-11,never know it be so easy! love it!
1608,shawn salgado,2016-07-11,ever since the security human verification process start on the androidgalaxy note 4 even though i be putt in the correct password i be force to click i be not a robot and a mini test like pick all photo with a storefront river mountain etc  i choose them then click verify and it still do not allow me to enter into my account  i do not have access to a computer  smartphone be the only way to log in and now i cant even access my account  this be bad business   i m a ui designer 
1609,sam otter,2016-07-11,constantly say submit wait a good hour still no useany ideas!??
1610,siphesihle monareng,2016-07-11,it really suck
1611,angelo v,2016-07-11,i sign in complete the captcha press verify and it take me back to the log on screen! and around and around we go  like a merry go round 
1612,ameh sunday,2016-07-11,it keep me well inform
1613,kachi okoronkwo,2016-07-11,the notification only show up after i open the   my message haven t update since june 28th  i have to login to the mobile site to access  really bothersome 
1614,a google user,2016-07-11,latest update have improve the experience for the user  thank
1615,abdullah faiz,2016-07-11,abdullah
1616,dr sanjeev kumar,2016-07-11,v nice   easy to use 
1617,hong hui ling,2016-07-11,   open my lock   
1618,chandan kumar panda,2016-07-10,good nd supportive with easy access and funtionality
