,Author,Date,body,Class
1130,cecil olinger,2016-07-21,don t use it,
1131,rachel tierney,2016-07-21,i loke know that if i lose any pic in a fire etc i have a backup,
1132,kizzi sankey,2016-07-21,very slow and keep crash,1.0
1133,geovanni martinez,2016-07-21,the easiest and best way to save photo,
1134,lily nicole ong,2016-07-21,                           ,
1135,renzi sambanire,2016-07-21,1010,
1136,riza marie,2016-07-21,should be accessible even in ordinary internet browsers ,1.0
1137,jurist agyeman,2016-07-21,nice,
1138,nur syamim,2016-07-21,safely ,
1139,vondakay lofley,2016-07-21,this be very helpful to share thing from one lication to another,
1140,mani kannan,2016-07-21,like it,
1141,himmat singh,2016-07-21,so very benefit,
1142,brad hyland,2016-07-21,awesome,
1143,shubham barnwal,2016-07-21,2 gb me kya hta h bhain jyda k liye paise lgnge isse bttr uninstll na kr le,
1144,john garland,2016-07-21,teacher,
1145,lori wegner,2016-07-21,love it,
1146,tammy trevino,2016-07-21,see for yourself,
1147,alex winston,2016-07-21,decent,
1148,jimmy poudel,2016-07-21,ram,
1149,andreas brandenborg,2016-07-21,it might just as well say in the term that and government agency look at your file at random ,
1150,"omar a  muhammad, th m",2016-07-21,i be stick like chuck until i discover for move large file thank you so much  keep going!,
1151,robert latta,2016-07-21,excellent service and exactly what you want to keep you organise,
1152,randy mullins,2016-07-21,good,
1153,bharat shah,2016-07-21,nutan tiagi,
1154,bryan lira,2016-07-21,cool,
1155,demetria august,2016-07-21,amazing  easy to use  five star,
1156,prasenjit rabha,2016-07-21,thank,
1157,aftab khan,2016-07-21,usefull,
1158,charles joseph,2016-07-21,excellent,
1159,ojir ta,2016-07-21,hooo  this be great p,2.0
1160,jayesh joshi,2016-07-21,love it,
1161,louis spidy,2016-07-21,it s so exciting because you can do anything with it,
1162,nate w thibodeau,2016-07-21,work great  no issue in mm with my v10 ,1.0
1163,vali lucifer,2016-07-21,i ll always prefer git over clone like this,
1164,donna lloyd,2016-07-21,awesome,
1165,yakob kahn,2016-07-21,excellent,
1166,h sisodia,2016-07-21,very user friendly and simple  easy access across platforms  no unnecessary functions  i use it daily  i don t even give it a second thought when i need to upload file and encourage other to use the product  very few sofor the winare and service be this close to perfection!,
1167,hansraj prajapati,2016-07-21,hansraj,
1168,saroj soni,2016-07-21,good,
1169,ephraim baloyi,2016-07-21,like feature that be user friendly,
1170,golam mustafa ashrafi,2016-07-21,nice,
1171,jessica tepuni,2016-07-21,take age to upload file but just as long as i know they be go to be safe and store i m fine with that maybe in time i ll upgrade to pro,
1172,ahza gt,2016-07-21,let make a video,
1173,ahmad lali,2016-07-21,memory avail very low in normal account,
1174,markjaztine escalona,2016-07-21,usefull,
1175,paul hans,2016-07-21,nice,
1176,rayhan khan,2016-07-21,best,
1177,henry co,2016-07-21,it save time and space to send bulk file,
1178,ahmed el ashmawy,2016-07-21,i uninstal update and search for previous version till i find the last version with this option send a link of a file which be v 6 2 4,1.0
1179,rdp prihadinata,2016-07-21,thank for help back up ours file,
1180,ilham habibie,2016-07-21,useful,
1181,ram chandra,2016-07-21,create they take space in memory card ,
1182,rupesh aaryan,2016-07-21,nice apo,
1183,rasel iqbal,2016-07-21,awesome s for keep all docs and photo safe,
1184,bijender sharma,2016-07-21,hurrrr,
1185,ram ram,2016-07-21,its very nice,
1186,abdul samad,2016-07-21,very usful,
1187,stairway landing sathiyaraj s,2016-07-21,everything and everyone can do this,
1188,sanjay dhaddha,2016-07-21,in this version cannot scan the document,1.0
1189,ivan pratama,2016-07-21,best,
1190,tammie holley,2016-07-21,soooo easy,
1191,pranav choudhary,2016-07-21,it have be very useful to me all the time   totally worth it,
1192,riad ddg,2016-07-21,very good,
1193,elemaayy po ching,2016-07-21,close my account  ufaaaaa!,1.0
1194,surinder pal,2016-07-21,love it,
1195,syeeta sanders,2016-07-21,excellent,
1196,stephen frick,2016-07-21,simple but powerful cloud give me instant access to my essential file anywhere ,
1197,jason johnson,2016-07-21,i m sick of this take 3  day before it upload new photo and screenshots  nexus 6p that be charge and on wifi daily  i should not have to open the and wait several minute before it finally decide to sync  fix the problem  edit lower to 1 star as i once again have to waste my time open the manually and wait for it to sync a photo ,1.0
1198,pam rezk,2016-07-21,best way to get pic from friend,
1199,neidaa rivas,2016-07-21,i don t know,
1200,a google user,2016-07-21,small kitchen tool for swimming,
1201,lukaaya ivan,2016-07-20,nice ,
1202,malo stefane,2016-07-20,i lik,
1203,arfan shuvo,2016-07-20,toto,
1204,corey lucey,2016-07-20,use this everyday for an important reason  thank to everyone that have a part in the development faze and promotional !!!,
1205,april styran,2016-07-20,fab way to keep all your memory safe if your phone or computer have problem they be keep safe forever,
1206,super crew fun time!!!,2016-07-20,i do wish they would give us ppl who dont have a computer to put our picture but i have have an account for year with you guy and would like a bit more space for my phone ,1.0
1207,niecy gilder,2016-07-20,the best ever for android photo lovers  i ve been using this for a few yrs  now  u0026amp  it s still the greatest     ,
1208,ehab shwegger,2016-07-20,so far so good   recommended to install this   yes working well easy to use   enjoy   cheers      ,
1209,arldhel celestial,2016-07-20,nice,
1210,santa muerte,2016-07-20,love,
1211,milton sanchez jr ,2016-07-20,drop box want space get it !,
1212,bernard thomas,2016-07-20,responsible,
1213,ismail hossain,2016-07-20,great s,
1214,akshay reddy,2016-07-20,good,
1215,yusuf badri,2016-07-20,v good,
1216,aamna waqas,2016-07-20,good for movement,
1217,swetha kadari,2016-07-20,like,
1218,donald shenoster,2016-07-20,best thing ever for cellphone,1.0
1219,roger segee,2016-07-20,i used up most of my vacation install this  ,1.0
1220,devon bova,2016-07-20,totally my go to when i factory reset it get a new phone!,1.0
1221,aziz rehman,2016-07-20,i can tell you more tip to improve your  ,
1222,abuhanif ershad,2016-07-20,i love   i be used last 6 year   and i save my datum all time  lot of facility   thank,
1223,ryan lund,2016-07-20,awesome,
1224,sneha bhagat,2016-07-20,nice,
1225,roshna islam,2016-07-20,useful !!,
1226,abdullah shahab,2016-07-20,g,
1227,flaffie g,2016-07-20,this be very excited,
1228,sadegh   alavi,2016-07-20,,
1229,arlene aguilar,2016-07-20,super for shrink file and pic,
1230,                             ,2016-07-20,                                                                                                                                                                                     ,
1231,monir fardus,2016-07-20,goood,
1232,golam mustafa,2016-07-20,hape,
1233,alvin sukro,2016-07-20,really helpfull n usefull,
1234,shanu li,2016-07-20,love it!!!!!!,
1235,ahmed khan,2016-07-20,i don t want it,
1236,azar oldfield,2016-07-20,what do u do to stop my phone,1.0
1237,md sher alam,2016-07-20,zen,
1238,rajnikant kumar,2016-07-20,rajnikant,
1239,gerald wade,2016-07-20,it s exactly what i need to express my thought to project to interested parties  yes!,
1240,ariful haque,2016-07-20,awesome,
1241,kat donovan,2016-07-20,don t force this on us let us uninstall from our phones!,1.0
1242,faizah buansay,2016-07-20,great,
1243,greg james,2016-07-20,super cool,
1244,b sudheer,2016-07-20,it take ssoooooooo much space in my sam,
1245,rosaidalia perez,2016-07-20,business,1.0
1246,laurie williams,2016-07-20,i love this but there isn t enough storage an ya have to pay for more storage when be full,
1247,angela morrow,2016-07-20,storge,
1248,noble soc,2016-07-20,love it!!!,
1249,ruchira kishan,2016-07-20,very user feiendly,
1250,yaswanth vidyala,2016-07-20,good,
1251,dennis nyaana,2016-07-20,cloud storage,
1252,ishaku zebedee,2016-07-20,tetfund maitama abuja ,
1253,ali irfan,2016-07-20,ishfaq,
1254,krish misra,2016-07-20,wow          only this apk help to download wwe 2k 16 wr3d,
1255,miika ahonen,2016-07-20,do what it be suppose to  require some superfluous permission but those seem harmless  they have also stop tell what they re do with the update and as far as i can tell support forum be be ignore so i m drop another star ,1.0
1256,vlad s,2016-07-20,camera upload become awful,1.0
1257,abigail francia,2016-07-20,awesome,
1258,shallu sofat,2016-07-20,good,
1259,alejandro cervantes,2016-07-20,work great on blackberry classic,
1260,tomer hammel,2016-07-20,love it easy to use share and even stream music off my phone!,
1261,mohamed suhail,2016-07-20,cool,
1262,mahvish saloomi,2016-07-20,excellnt bckup,
1263,gareth jones,2016-07-20,will not open,
1264,viper orton,2016-07-20,nice,
1265,mohd zaini sanusi,2016-07-20,ok,
1266,aliannasmuhammad,2016-07-20,good,
1267,jayson silvestre,2016-07-20,nice s,
1268,arif handy,2016-07-20,best cloud,1.0
1269,josh impinto,2016-07-19,doesn t work anymore! the doesn t save any of my pictures  now i ve receive an email about upgrading to a premium package  no thanks! if the doesn t work why would i upgrade  plus the devour too much storage  just more pre install junk on my phone ,1.0
1270,mark hearn,2016-07-19,get hit by a cypto virus  my file be restore quickly and intact!,
1271,april noles,2016-07-19,even after the update it win t allow me to upload picture from my phone  it s be work up until recently  i ve always like it  wish it would be fixed  galaxy s6 edge,1.0
1272,hala yaser,2016-07-19,just what i need i love it thankyou,
1273,radu luchian,2016-07-19,terrible service don t want it can t disable it,1.0
1274,thiri hlaing,2016-07-19,good very very very k,
1275,jesse chavez,2016-07-19,too many failed video load,1.0
1276,syed sazzad shishir,2016-07-19,only 2 gb free space ,
1277,ruwayda abdillah,2016-07-19,this aply be great but apload be slowly,
1278,omosefe enofe,2016-07-19,great for save info  just see thing i saved since 2011,
1279,sufyan khan,2016-07-19,good,
1280,balam ganesh,2016-07-19,nice one,
1281,apostle george,2016-07-19,easy to use,
1282,john rizopoulos,2016-07-19,don t send an email say it now have a document scanner when it doesn t ,1.0
1283,jay mitchell,2016-07-19,best for expand your memory not cluster up phone,1.0
1284,junior williams,2016-07-19,bla bla bla,
1285,vin priori,2016-07-19,dbix,
1286,elena porciani van baalen,2016-07-19,how to delete a pic i don t want anymore or that shouldn t be in there or that i want to delete to clear up space?,1.0
1287,steve smith,2016-07-19,please enable this to be move to the sd card on installation some phone need all the build in storage for the mess of android s that be force on us,1.0
1288,baskar bas,2016-07-19,ok,
1289,ankur rathi,2016-07-19,good,
1290,khawaja rehman,2016-07-19,love,
1291,taufiq dwicahyo furqon,2016-07-19,great,
1292,mukesh shah,2016-07-19,excellent,
1293,tatyana sandoval,2016-07-19,wish when it say connect with your computer it do,
1294,vaddadi kartick,2016-07-19,too costly for my need which be 100gb of space  google drive charge me  24 a year while charge  100 a year  disclosure i work for google but these be my personal opinions ,
1295,emeka ify,2016-07-19,i love this,
1296,jonathan s,2016-07-19,please let me uninstall completely,1.0
1297,chris brennan,2016-07-19,easy to use  much more intuitive than other cloud storers ,
1298,bryan evangelista,2016-07-19,thank to the developer,
1299,verity driver,2016-07-19,i try to uninstall this and all it do be uninstall the last update which have make look at image hard  not hy at all,1.0
1300,krishna prasad,2016-07-19,be simply the best  so elegant and so easy  but price be too inflexible  i hope it come with plan like icloud drive,
1301,abdul raheem,2016-07-19,haiwa,
1302,zohaib jawed,2016-07-19,now everytime i try to upload a picture from my galaxy s5 it just say wating to upload and nothing hen,1.0
